ANAL,Silicate.ANL,,,,,,,
RUN ,230123AR1.RUN,,,,,,,
DATE,1/23/2023,,,,,,,
TIME,10:12:36 AM,,,,,,,
OPER,BALINT,,,,,,,
COMM,Recalculate from Run230123A.run,,,,,,,
METH,,,,Silicate,,,Dilution,
88B,57,DSAMP,,92.878,27612,,2,0
89B,58,DSAMP,,98.852,29166,,2,0
89B,59,DSAMP,,98.594,29099,,2,0
90B,60,DSAMP,,99.013,29208,,2,0
90B,61,DSAMP,,98.644,29112,,2,0
DRIFT,62,DRIF,,100.052,55507,,1,0
Baseline,63,BASL,,-0.468,3206,,1,0
CCB,64,QUAL,,-0.47,3205,,1,0
MDL,65,UNKNOWN,,1.613,4289,,1,0
CCV,66,QUAL,,50.521,29736,,1,0
%50 REF,67,UNKNOWN,,55.361,32254,,1,0
Null,68,NULL,,-0.468,3206,,1,0
81C,69,DSAMP,,58.071,33664,,1,0
81C,70,DSAMP,,57.446,33339,,1,0
83C,71,DSAMP,,44.358,26529,,1,0
83C,72,DSAMP,,44.338,26519,,1,0
83C,73,DSAMP,,96.756,53792,,1,0
83C,74,DSAMP,,96.941,53888,,1,0
84C,75,DSAMP,,1.49,4225,,1,0
84C,76,DSAMP,,0.896,3916,,1,0
85C,77,DSAMP,,94.727,28093,,2,0
85C,78,DSAMP,,94.254,27970,,2,0
86C,79,DSAMP,,89.811,26814,,2,0
86C,80,DSAMP,,89.492,26731,,2,0
87C,81,DSAMP,,97.648,28853,,2,0
87C,82,DSAMP,,96.772,28625,,2,0
88C,83,DSAMP,,95.826,28379,,2,0
88C,84,DSAMP,,95.008,28166,,2,0
89C,85,DSAMP,,101.062,29741,,2,0
89C,86,DSAMP,,100.712,29650,,2,0
90C,87,DSAMP,,103.872,30472,,2,0
90C,88,DSAMP,,103.045,30257,,2,0
91A,89,DSAMP,,94.047,27916,,2,0
91A,90,DSAMP,,93.374,27741,,2,0
92A,91,DSAMP,,96.903,28659,,2,0
92A,92,DSAMP,,95.953,28412,,2,0
93A,93,DSAMP,,100.908,29701,,2,0
93A,94,DSAMP,,100.454,29583,,2,0
94A,95,DSAMP,,103.537,30385,,2,0
94A,96,DSAMP,,102.984,30241,,2,0
95A,97,DSAMP,,72.04,22191,,2,0
95A,98,DSAMP,,71.698,22102,,2,0
96A,99,DSAMP,,72.286,22255,,2,0
96A,100,DSAMP,,75.165,23004,,2,0
7A,101,DSAMP,,67.001,20880,,2,0
7A,102,DSAMP,,66.805,20829,,2,0
98A,103,DSAMP,,63.68,20016,,2,0
98A,104,DSAMP,,63.222,19897,,2,0
99A,105,DSAMP,,58.487,18665,,2,0
99A,106,DSAMP,,58.006,18540,,2,0
100A,107,DSAMP,,57.195,18329,,2,0
100A,108,DSAMP,,56.834,18235,,2,0
50% REF NEW STOCK,109,UNKNOWN,,54.358,31732,,1,0
50% REF NEW STOCK,110,UNKNOWN,,54.432,31771,,1,0
DRIFT,111,DRIF,,100.052,55507,,1,0
BASELINE,112,BASL,,-0.468,3206,,1,0
CCB,113,QUAL,,-0.472,3204,,1,0
MDL,114,UNKNOWN,,1.7,4334,,1,0
CCV,115,QUAL,,52.316,30670,,1,0
91B,116,DSAMP,,95.849,28385,,2,0
91B,117,DSAMP,,95.238,28226,,2,0
92B,118,DSAMP,,97.037,28694,,2,0
92B,119,DSAMP,,96.245,28488,,2,0
93B,120,DSAMP,,97.16,28726,,2,0
93B,121,DSAMP,,96.345,28514,,2,0
94B,122,DSAMP,,109.903,32041,,2,0
94B,123,DSAMP,,109.422,31916,,2,0
95B,124,DSAMP,,74.789,22906,,2,0
95B,125,DSAMP,,73.985,22697,,2,0
96B,126,DSAMP,,74.65,22870,,2,0
96B,127,DSAMP,,74.308,22781,,2,0
97B,128,DSAMP,,67.697,21061,,2,0
97B,129,DSAMP,,67.6,21036,,2,0
98B,130,DSAMP,,68.319,21223,,2,0
98B,131,DSAMP,,67.966,21131,,2,0
99B,132,DSAMP,,62.373,19676,,2,0
99B,133,DSAMP,,62.061,19595,,2,0
100B,134,DSAMP,,59.932,19041,,2,0
100B,135,DSAMP,,59.536,18938,,2,0
91C,136,DSAMP,,98.536,29084,,2,0
91C,137,DSAMP,,98.31,29025,,2,0
92C,138,DSAMP,,99.267,29274,,2,0
92C,139,DSAMP,,99.62,29366,,2,0
93C,140,DSAMP,,99.294,29281,,2,0
93C,141,DSAMP,,99.259,29272,,2,0
94C,142,DSAMP,,111.221,32384,,2,0
94C,143,DSAMP,,110.956,32315,,2,0
95C,144,DSAMP,,77.879,23710,,2,0
95C,145,DSAMP,,78.325,23826,,2,0
NULL,146,DSAMP,,78.829,23957,,2,0
NULL,147,DSAMP,,-0.168,3406,,2,0
NULL,148,DSAMP,,-0.787,3245,,2,0
NULL,149,DSAMP,,2.596,4125,,2,0
NULL,150,DSAMP,,25.429,10065,,2,0
NULL,151,DSAMP,,237.825,65320,,2,0
NULL,152,DSAMP,,133.382,38149,,2,0
NULL,153,DSAMP,,112.063,32603,,2,0
NULL,154,DSAMP,,,,,2,0
NULL,155,DSAMP,,,,,2,0
Quality Cup,156,UNKNOWN,,,,,1,0
Quality Cup,157,UNKNOWN,,,,,1,0
End    -Pause-,158,END ,,,,,1,0
Primer -Pause-,159,PRIM,,,,,1,0
DRIFT,160,DRIF,,,,,1,0
Baseline,161,BASL,,,,,1,0
CCB,162,QUAL,,,,,1,0
MDL,163,UNKNOWN,,,,,1,0
CCV,164,QUAL,,,,,1,0
50% REF,165,UNKNOWN,,,,,1,0
Null,166,NULL,,,,,1,0
101A,167,DSAMP,,,,,2,0
101A,168,DSAMP,,,,,2,0
102A,169,DSAMP,,,,,2,0
102A,170,DSAMP,,,,,2,0
103A,171,DSAMP,,,,,2,0
103A,172,DSAMP,,,,,2,0
104A,173,DSAMP,,,,,2,0
104A,174,DSAMP,,,,,2,0
105A,175,DSAMP,,,,,2,0
105A,176,DSAMP,,,,,2,0
106A,177,DSAMP,,,,,2,0
106A,178,DSAMP,,,,,2,0
107A,179,DSAMP,,,,,2,0
107A,180,DSAMP,,,,,2,0
108A,181,DSAMP,,,,,2,0
108A,182,DSAMP,,,,,2,0
109A,183,DSAMP,,,,,2,0
109A,184,DSAMP,,,,,2,0
110A,185,DSAMP,,,,,2,0
110A,186,DSAMP,,,,,2,0
101B,187,DSAMP,,,,,2,0
101B,188,DSAMP,,,,,2,0
102B,189,DSAMP,,,,,2,0
102B,190,DSAMP,,,,,2,0
103B,191,DSAMP,,,,,2,0
103B,192,DSAMP,,,,,2,0
104B,193,DSAMP,,,,,2,0
104B,194,DSAMP,,,,,2,0
105B,195,DSAMP,,,,,2,0
105B,196,DSAMP,,,,,2,0
106B,197,DSAMP,,,,,2,0
106B,198,DSAMP,,,,,2,0
107B,199,DSAMP,,,,,2,0
107B,200,DSAMP,,,,,2,0
108B,201,DSAMP,,,,,2,0
108B,202,DSAMP,,,,,2,0
109B,203,DSAMP,,,,,2,0
109B,204,DSAMP,,,,,2,0
110B,205,DSAMP,,,,,2,0
110B,206,DSAMP,,,,,2,0
Drift,207,DRIF,,,,,1,0
Baseline,208,BASL,,,,,1,0
CCB,209,QUAL,,,,,1,0
MDL,210,UNKNOWN,,,,,1,0
CCV,211,QUAL,,,,,1,0
101C,212,DSAMP,,,,,2,0
101C,213,DSAMP,,,,,2,0
102C,214,DSAMP,,,,,2,0
102C,215,DSAMP,,,,,2,0
103C,216,DSAMP,,,,,2,0
103C,217,DSAMP,,,,,2,0
104C,218,DSAMP,,,,,2,0
104C,219,DSAMP,,,,,2,0
105C,220,DSAMP,,,,,2,0
105C,221,DSAMP,,,,,2,0
106C,222,DSAMP,,,,,2,0
106C,223,DSAMP,,,,,2,0
107C,224,DSAMP,,,,,2,0
107C,225,DSAMP,,,,,2,0
108C,226,DSAMP,,,,,2,0
108C,227,DSAMP,,,,,2,0
109C,228,DSAMP,,,,,2,0
109C,229,DSAMP,,,,,2,0
110C,230,DSAMP,,,,,2,0
110C,231,DSAMP,,,,,2,0
111A,232,DSAMP,,,,,2,0
111A,233,DSAMP,,,,,2,0
112A,234,DSAMP,,,,,2,0
112A,235,DSAMP,,,,,2,0
113A,236,DSAMP,,,,,2,0
113A,237,DSAMP,,,,,2,0
114A,238,DSAMP,,,,,2,0
114A,239,DSAMP,,,,,2,0
115A,240,DSAMP,,,,,2,0
115A,241,DSAMP,,,,,2,0
116A,242,DSAMP,,,,,2,0
116A,243,DSAMP,,,,,2,0
117A,244,DSAMP,,,,,2,0
117A,245,DSAMP,,,,,2,0
118A,246,DSAMP,,,,,2,0
118A,247,DSAMP,,,,,2,0
119A,248,DSAMP,,,,,2,0
119A,249,DSAMP,,,,,2,0
120A,250,DSAMP,,,,,2,0
120A,251,DSAMP,,,,,2,0
Drift,252,DRIF,,,,,1,0
Baseline,253,BASL,,,,,1,0
CCB,254,QUAL,,,,,1,0
MDL,255,UNKNOWN,,,,,1,0
CCV,256,QUAL,,,,,1,0
50% REF,257,UNKNOWN,,,,,1,0
Null,258,NULL,,,,,1,0
111B,259,DSAMP,,,,,2,0
111B,260,DSAMP,,,,,2,0
112B,261,DSAMP,,,,,2,0
112B,262,DSAMP,,,,,2,0
113B,263,DSAMP,,,,,2,0
113B,264,DSAMP,,,,,2,0
114B,265,DSAMP,,,,,2,0
114B,266,DSAMP,,,,,2,0
115B,267,DSAMP,,,,,2,0
115B,268,DSAMP,,,,,2,0
116B,269,DSAMP,,,,,2,0
116B,270,DSAMP,,,,,2,0
117B,271,DSAMP,,,,,2,0
117B,272,DSAMP,,,,,2,0
118B,273,DSAMP,,,,,2,0
118B,274,DSAMP,,,,,2,0
119B,275,DSAMP,,,,,2,0
119B,276,DSAMP,,,,,2,0
120B,277,DSAMP,,,,,2,0
120B,278,DSAMP,,,,,2,0
111C,279,DSAMP,,,,,2,0
111C,280,DSAMP,,,,,2,0
112C,281,DSAMP,,,,,2,0
112C,282,DSAMP,,,,,2,0
113C,283,DSAMP,,,,,2,0
113C,284,DSAMP,,,,,2,0
114C,285,DSAMP,,,,,2,0
114C,286,DSAMP,,,,,2,0
115C,287,DSAMP,,,,,2,0
115C,288,DSAMP,,,,,2,0
116C,289,DSAMP,,,,,2,0
116C,290,DSAMP,,,,,2,0
117C,291,DSAMP,,,,,2,0
117C,292,DSAMP,,,,,2,0
118C,293,DSAMP,,,,,2,0
118C,294,DSAMP,,,,,2,0
119C,295,DSAMP,,,,,2,0
119C,296,DSAMP,,,,,2,0
120C,297,DSAMP,,,,,2,0
120C,298,DSAMP,,,,,2,0
,299,DSAMP,,,,,1,0
,300,DSAMP,,,,,1,0
,301,DSAMP,,,,,1,0
,302,DSAMP,,,,,1,0
,303,DSAMP,,,,,1,0
,304,DSAMP,,,,,1,0
,305,DSAMP,,,,,1,0
,306,DSAMP,,,,,1,0
,307,DSAMP,,,,,1,0
,308,DSAMP,,,,,1,0
,309,DSAMP,,,,,1,0
,310,DSAMP,,,,,1,0
,311,DSAMP,,,,,1,0
,312,DSAMP,,,,,1,0
,313,DSAMP,,,,,1,0
,314,DSAMP,,,,,1,0
,315,DSAMP,,,,,1,0
,316,DSAMP,,,,,1,0
,317,DSAMP,,,,,1,0
,318,DSAMP,,,,,1,0
Drift,319,DRIF,,,,,1,0
Baseline,320,BASL,,,,,1,0
CCB,321,QUAL,,,,,1,0
MDL,322,UNKNOWN,,,,,1,0
CCV,323,QUAL,,,,,1,0
End,324,END ,,,,,1,0
