ANAL,Silicate.ANL,,,,,,,
RUN ,230112A.RUN,,,,,,,
DATE,1/12/2023,,,,,,,
TIME,11:52:28 AM,,,,,,,
OPER,BALINT,,,,,,,
COMM,NBay Longterm SI,,,,,,,
METH,,,,Silicate,,,Dilution,
MDL,119,UNKNOWN,,,36719,,1,0
11B,120,DSAMP,,,42783,,2,0
11B,121,DSAMP,,,43608,,2,0
12B,122,DSAMP,,,43903,,2,0
12B,123,DSAMP,,,44937,,2,0
13B,124,DSAMP,,,44101,,2,0
13B,125,DSAMP,,,45213,,2,0
14B,126,DSAMP,,,48643,,2,0
14B,127,DSAMP,,,49793,,2,0
15B,128,DSAMP,,,45225,,2,0
15B,129,DSAMP,,,46237,,2,0
16B,130,DSAMP,,,48052,,2,0
16B,131,DSAMP,,,49447,,2,0
17B,132,DSAMP,,,53378,,2,0
17B,133,DSAMP,,,55076,,2,0
18B,134,DSAMP,,,56767,,2,0
18B,135,DSAMP,,,58760,,2,0
19B,136,DSAMP,,,54497,,2,0
19B,137,DSAMP,,,56428,,2,0
20B,138,DSAMP,,,57462,,2,0
20B,139,DSAMP,,,59863,,2,0
11C,140,DSAMP,,,87775,,2,0
11C,141,DSAMP,,,91832,,2,0
12C,142,DSAMP,,,92355,,2,0
12C,143,DSAMP,,,97294,,2,0
13C,144,DSAMP,,,101048,,2,0
13C,145,DSAMP,,,106748,,2,0
14C,146,DSAMP,,,118066,,2,0
14C,147,DSAMP,,,126425,,2,0
15C,148,DSAMP,,,122656,,2,0
15C,149,DSAMP,,,132643,,2,0
16C,150,DSAMP,,,145192,,2,0
16C,151,DSAMP,,,159731,,2,0
17C,152,DSAMP,,,186939,,2,0
17C,153,DSAMP,,,213362,,2,0
18C,154,DSAMP,,,242522,,2,0
18C,155,DSAMP,,,289920,,2,0
19C,156,DSAMP,,,323705,,2,0
19C,157,DSAMP,,,426806,,2,0
20C,158,DSAMP,,,613430,,2,0
20C,159,DSAMP,,,1218410,,2,0
DRIFT,160,DRIF,,,57508,,1,0
Baseline,161,BASL,,,0,,1,0
CCB,162,QUAL,,,22,,1,0
MDL,163,UNKNOWN,,,10717,,1,0
CCV,164,UNKNOWN,,,219919,,1,0
21A,165,DSAMP,,,163881,,2,0
21A,166,DSAMP,,,143052,,2,0
22A,167,DSAMP,,,129908,,2,0
22A,168,DSAMP,,,116542,,2,0
23A,169,DSAMP,,,95541,,2,0
23A,170,DSAMP,,,87353,,2,0
24A,171,DSAMP,,,79855,,2,0
24A,172,DSAMP,,,73693,,2,0
25A,173,DSAMP,,,51294,,2,0
25A,174,DSAMP,,,48126,,2,0
26A,175,DSAMP,,,42420,,2,0
26A,176,DSAMP,,,40229,,2,0
27A,177,DSAMP,,,65294,,2,0
27A,178,DSAMP,,,61631,,2,0
28A,179,DSAMP,,,59820,,2,0
28A,180,DSAMP,,,56830,,2,0
29A,181,DSAMP,,,56250,,2,0
29A,182,DSAMP,,,53723,,2,0
30A,183,DSAMP,,,49945,,2,0
30A,184,DSAMP,,,47914,,2,0
21B,185,DSAMP,,,42212,,2,0
21B,186,DSAMP,,,40531,,2,0
22B,187,DSAMP,,,40702,,2,0
22B,188,DSAMP,,,39079,,2,0
23B,189,DSAMP,,,34887,,2,0
23B,190,DSAMP,,,33556,,2,0
24B,191,DSAMP,,,32824,,2,0
24B,192,DSAMP,,,31674,,2,0
25B,193,DSAMP,,,22221,,2,0
25B,194,DSAMP,,,21510,,2,0
26B,195,DSAMP,,,21213,,2,0
26B,196,DSAMP,,,20601,,2,0
27B,197,DSAMP,,,32175,,2,0
27B,198,DSAMP,,,31255,,2,0
28B,199,DSAMP,,,30680,,2,0
28B,200,DSAMP,,,29677,,2,0
29B,201,DSAMP,,,30135,,2,0
29B,202,DSAMP,,,29290,,2,0
30B,203,DSAMP,,,28025,,2,0
30B,204,DSAMP,,,27290,,2,0
Drift,205,DRIF,,98.982,57508,,1,0
Baseline,206,BASL,,0,0,,1,0
CCB,207,QUAL,,0,0,,1,0
MDL,208,UNKNOWN,,-0.974,1165,,1,0
CCV,209,QUAL,,47.718,28612,,1,0
50% REF,210,UNKNOWN,,52.863,31512,,1,0
Null,211,NULL,,0,0,,1,0
21C,212,DSAMP,,85.332,25764,,2,0
21C,213,DSAMP,,84.618,25563,,2,0
22C,214,DSAMP,,86.126,25988,,2,0
22C,215,DSAMP,,85.491,25809,,2,0
23C,216,DSAMP,,78.136,23736,,2,0
23C,217,DSAMP,,77.511,23560,,2,0
24C,218,DSAMP,,75.801,23078,,2,0
24C,219,DSAMP,,75.542,23005,,2,0
25C,220,DSAMP,,53.828,16885,,2,0
25C,221,DSAMP,,53.895,16904,,2,0
26C,222,DSAMP,,54.899,17187,,2,0
26C,223,DSAMP,,54.449,17060,,2,0
27C,224,DSAMP,,90.689,27274,,2,0
27C,225,DSAMP,,89.848,27037,,2,0
28C,226,DSAMP,,89.742,27007,,2,0
28C,227,DSAMP,,89.391,26908,,2,0
29C,228,DSAMP,,95.11,28520,,2,0
29C,229,DSAMP,,95.082,28512,,2,0
30C,230,DSAMP,,93.726,28130,,2,0
30C,231,DSAMP,,90.785,27301,,2,0
31A,232,DSAMP,,109.409,32550,,2,0
31A,233,DSAMP,,108.763,32368,,2,0
32A,234,DSAMP,,116.019,34413,,2,0
32A,235,DSAMP,,115.512,34270,,2,0
33A,236,DSAMP,,100.631,30076,,2,0
33A,237,DSAMP,,99.968,29889,,2,0
34A,238,DSAMP,,100.521,30045,,2,0
34A,239,DSAMP,,99.96,29887,,2,0
35A,240,DSAMP,,98.818,29565,,2,0
35A,241,DSAMP,,98.332,29428,,2,0
36A,242,DSAMP,,101.742,30389,,2,0
36A,243,DSAMP,,101.33,30273,,2,0
37A,244,DSAMP,,100.319,29988,,2,0
37A,245,DSAMP,,99.829,29850,,2,0
38A,246,DSAMP,,100.961,30169,,2,0
38A,247,DSAMP,,100.383,30006,,2,0
39A,248,DSAMP,,97.938,29317,,2,0
39A,249,DSAMP,,97.644,29234,,2,0
40A,250,DSAMP,,97.917,29311,,2,0
40A,251,DSAMP,,97.367,29156,,2,0
Drift,252,DRIF,,98.982,57508,,1,0
Baseline,253,BASL,,0,0,,1,0
CCB,254,QUAL,,0,0,,1,0
MDL,255,UNKNOWN,,-0.912,1200,,1,0
CCV,256,UNKNOWN,,49.384,29551,,1,0
31B,257,DSAMP,,114.572,34005,,2,0
31B,258,DSAMP,,113.67,33751,,2,0
32B,259,DSAMP,,113.372,33667,,2,0
32B,260,DSAMP,,112.627,33457,,2,0
33B,261,DSAMP,,102.817,30692,,2,0
33B,262,DSAMP,,102.341,30558,,2,0
34B,263,DSAMP,,101.678,30371,,2,0
34B,264,DSAMP,,100.965,30170,,2,0
35B,265,DSAMP,,102.948,30729,,2,0
35B,266,DSAMP,,102.206,30520,,2,0
36B,267,DSAMP,,,408,,2,0
36B,268,DSAMP,,,86,,2,0
37B,269,DSAMP,,,46,,2,0
37B,270,DSAMP,,,4,,2,0
38B,271,DSAMP,,,0,,2,0
38B,272,DSAMP,,,0,,2,0
39B,273,DSAMP,,,0,,2,0
39B,274,DSAMP,,,0,,2,0
40B,275,DSAMP,,,0,,2,0
40B,276,DSAMP,,,1,,2,0
31C,277,DSAMP,,,39,,2,0
31C,278,DSAMP,,,40,,2,0
32C,279,DSAMP,,,49,,2,0
32C,280,DSAMP,,,35397,,2,0
33C,281,DSAMP,,,0,,2,0
33C,282,DSAMP,,,34,,2,0
End,283,END ,,0,0,,1,0
