ANAL,Silicate.ANL,,,,,,,
RUN ,230124A.RUN,,,,,,,
DATE,1/24/2023,,,,,,,
TIME,10:01:01 AM,,,,,,,
OPER,BALINT,,,,,,,
COMM,NEW STANDARDS ,,,,,,,
METH,,,,Silicate,,,Dilution,
128B,57,DSAMP,,114.131,33067,,2,0
129B,58,DSAMP,,105.613,30852,,2,0
129B,59,DSAMP,,104.86,30656,,2,0
130B,60,DSAMP,,104.183,30480,,2,0
130B,61,DSAMP,,103.36,30266,,2,0
DRIFT,62,DRIF,,99.787,55287,,1,0
Baseline,63,BASL,,-0.355,3202,,1,0
CCB,64,QUAL,,-0.355,3202,,1,0
MDL,65,UNKNOWN,,1.673,4257,,1,0
CCV,66,QUAL,,50.305,29551,,1,0
%50 REF,67,UNKNOWN,,54.053,31500,,1,0
Null,68,NULL,,-0.345,3207,,1,0
121C,69,DSAMP,,71.341,40492,,1,0
121C,70,DSAMP,,71.401,40523,,1,0
122C,71,DSAMP,,66.686,38071,,1,0
122C,72,DSAMP,,66.1,37766,,1,0
123C,73,DSAMP,,67.984,38746,,1,0
123C,74,DSAMP,,67.39,38437,,1,0
124C,75,DSAMP,,68.847,39195,,1,0
124C,76,DSAMP,,68.469,38998,,1,0
125C,77,DSAMP,,120.799,34801,,2,0
125C,78,DSAMP,,120.41,34700,,2,0
126C,79,DSAMP,,118.591,34227,,2,0
126C,80,DSAMP,,117.999,34073,,2,0
127C,81,DSAMP,,122.075,35133,,2,0
127C,82,DSAMP,,121.641,35020,,2,0
128C,83,DSAMP,,126.882,36383,,2,0
128C,84,DSAMP,,126.197,36205,,2,0
129C,85,DSAMP,,122.59,35267,,2,0
129C,86,DSAMP,,122.306,35193,,2,0
130C,87,DSAMP,,122.356,35206,,2,0
130C,88,DSAMP,,121.737,35045,,2,0
131A,89,DSAMP,,93.631,27736,,2,0
131A,90,DSAMP,,92.716,27498,,2,0
132A,91,DSAMP,,92.447,27428,,2,0
132A,92,DSAMP,,91.755,27248,,2,0
133A,93,DSAMP,,94.827,28047,,2,0
133A,94,DSAMP,,94.493,27960,,2,0
134A,95,DSAMP,,92.412,27419,,2,0
134A,96,DSAMP,,91.47,27174,,2,0
135A,97,DSAMP,,81.011,24454,,2,0
135A,98,DSAMP,,80.588,24344,,2,0
136A,99,DSAMP,,78.965,23922,,2,0
136A,100,DSAMP,,78.8,23879,,2,0
137A,101,DSAMP,,56.22,18007,,2,0
137A,102,DSAMP,,55.959,17939,,2,0
138A,103,DSAMP,,60.169,19034,,2,0
138A,104,DSAMP,,59.662,18902,,2,0
139A,105,DSAMP,,67.887,21041,,2,0
139A,106,DSAMP,,67.452,20928,,2,0
140A,107,DSAMP,,68.921,21310,,2,0
140A,108,DSAMP,,68.667,21244,,2,0
DRIFT,109,DRIF,,99.787,55287,,1,0
BASELINE,110,BASL,,-0.355,3202,,1,0
CCB,111,QUAL,,-0.34,3210,,1,0
MDL,112,UNKNOWN,,1.716,4279,,1,0
CCV,113,QUAL,,50.847,29833,,1,0
131B,114,DSAMP,,95.888,28323,,2,0
131B,115,DSAMP,,95.985,28348,,2,0
132B,116,DSAMP,,95.116,28122,,2,0
132B,117,DSAMP,,94.562,27978,,2,0
133B,118,DSAMP,,97.65,28781,,2,0
133B,119,DSAMP,,97.204,28665,,2,0
134B,120,DSAMP,,99.884,29362,,2,0
134B,121,DSAMP,,99.295,29209,,2,0
135B,122,DSAMP,,80.061,24207,,2,0
135B,123,DSAMP,,79.55,24074,,2,0
136B,124,DSAMP,,82.184,24759,,2,0
136B,125,DSAMP,,81.503,24582,,2,0
137B,126,DSAMP,,58.993,18728,,2,0
137B,127,DSAMP,,58.4,18574,,2,0
138B,128,DSAMP,,63.553,19914,,2,0
138B,129,DSAMP,,63.645,19938,,2,0
139B,130,DSAMP,,70.805,21800,,2,0
139B,131,DSAMP,,70.563,21737,,2,0
140B,132,DSAMP,,70.325,21675,,2,0
140B,133,DSAMP,,69.725,21519,,2,0
131C,134,DSAMP,,110.339,32081,,2,0
131C,135,DSAMP,,109.782,31936,,2,0
132C,136,DSAMP,,109.628,31896,,2,0
132C,137,DSAMP,,109.912,31970,,2,0
133C,138,DSAMP,,100.145,29430,,2,0
133C,139,DSAMP,,99.626,29295,,2,0
134C,140,DSAMP,,102.791,30118,,2,0
134C,141,DSAMP,,101.78,29855,,2,0
135C,142,DSAMP,,98.33,28958,,2,0
135C,143,DSAMP,,98.203,28925,,2,0
136C,144,DSAMP,,94,27832,,2,0
136C,145,DSAMP,,93.354,27664,,2,0
137C,146,DSAMP,,69.936,21574,,2,0
137C,147,DSAMP,,69.321,21414,,2,0
138C,148,DSAMP,,62.792,19716,,2,0
138C,149,DSAMP,,63.111,19799,,2,0
139C,150,DSAMP,,82.949,24958,,2,0
139C,151,DSAMP,,82.126,24744,,2,0
140C,152,DSAMP,,82.584,24863,,2,0
140C,153,DSAMP,,82.011,24714,,2,0
DRIFT,154,DRIF,,99.787,55287,,1,0
Baseline,155,BASL,,-0.355,3202,,1,0
CCB,156,QUAL,,-0.363,3198,,1,0
MDL,157,UNKNOWN,,1.683,4262,,1,0
CCV,158,QUAL,,50.288,29542,,1,0
50% REF,159,UNKNOWN,,54.195,31574,,1,0
Null,160,NULL,,-0.342,3209,,1,0
141A,161,DSAMP,,79.204,23984,,2,0
141A,162,DSAMP,,78.758,23868,,2,0
142A,163,DSAMP,,76.15,23190,,2,0
142A,164,DSAMP,,75.87,23117,,2,0
143A,165,DSAMP,,76.993,23409,,2,0
143A,166,DSAMP,,76.558,23296,,2,0
144A,167,DSAMP,,78.461,23791,,2,0
144A,168,DSAMP,,78.123,23703,,2,0
145A,169,DSAMP,,87.286,26086,,2,0
145A,170,DSAMP,,86.756,25948,,2,0
146A,171,DSAMP,,83.649,25140,,2,0
146A,172,DSAMP,,83.137,25007,,2,0
147A,173,DSAMP,,74.843,22850,,2,0
147A,174,DSAMP,,74.647,22799,,2,0
148A,175,DSAMP,,76.339,23239,,2,0
148A,176,DSAMP,,75.97,23143,,2,0
149A,177,DSAMP,,81.549,24594,,2,0
149A,178,DSAMP,,81.326,24536,,2,0
150A,179,DSAMP,,82.499,24841,,2,0
150A,180,DSAMP,,81.853,24673,,2,0
141B,181,DSAMP,,42.296,14386,,2,0
141B,182,DSAMP,,41.758,14246,,2,0
142B,183,DSAMP,,74.009,22633,,2,0
142B,184,DSAMP,,73.839,22589,,2,0
143B,185,DSAMP,,78.335,23758,,2,0
143B,186,DSAMP,,78.269,23741,,2,0
144B,187,DSAMP,,75.854,23113,,2,0
144B,188,DSAMP,,75.028,22898,,2,0
145B,189,DSAMP,,98.242,28935,,2,0
145B,190,DSAMP,,97.538,28752,,2,0
146B,191,DSAMP,,86.225,25810,,2,0
146B,192,DSAMP,,85.745,25685,,2,0
146B,193,DSAMP,,78.261,23739,,2,0
146B,194,DSAMP,,77.85,23632,,2,0
148B,195,DSAMP,,77.077,23431,,2,0
148B,196,DSAMP,,76.67,23325,,2,0
149B,197,DSAMP,,91.878,27280,,2,0
149B,198,DSAMP,,91.093,27076,,2,0
150B,199,DSAMP,,93.008,27574,,2,0
150B,200,DSAMP,,92.482,27437,,2,0
Drift,201,DRIF,,99.787,55287,,1,0
Baseline,202,BASL,,-0.355,3202,,1,0
CCB,203,QUAL,,-0.359,3200,,1,0
MDL,204,UNKNOWN,,1.677,4259,,1,0
CCV,205,QUAL,,49.484,29124,,1,0
141C,206,DSAMP,,90.57,26940,,2,0
141C,207,DSAMP,,90.294,26868,,2,0
142C,208,DSAMP,,75.47,23013,,2,0
142C,209,DSAMP,,75.116,22921,,2,0
143C,210,DSAMP,,86.879,25980,,2,0
143C,211,DSAMP,,86.644,25919,,2,0
144C,212,DSAMP,,81.776,24653,,2,0
144C,213,DSAMP,,81.122,24483,,2,0
145C,214,DSAMP,,97.673,28787,,2,0
145C,215,DSAMP,,97.45,28729,,2,0
146C,216,DSAMP,,94.273,27903,,2,0
146C,217,DSAMP,,93.351,27663,,2,0
147C,218,DSAMP,,88.421,26381,,2,0
147C,219,DSAMP,,87.798,26219,,2,0
148C,220,DSAMP,,87.348,26102,,2,0
148C,221,DSAMP,,86.96,26001,,2,0
149C,222,DSAMP,,82.449,24828,,2,0
149C,223,DSAMP,,81.868,24677,,2,0
150C,224,DSAMP,,93.616,27732,,2,0
150C,225,DSAMP,,93.128,27605,,2,0
151A,226,DSAMP,,47.487,15736,,2,0
151A,227,DSAMP,,47.576,15759,,2,0
152A,228,DSAMP,,44.057,14844,,2,0
152A,229,DSAMP,,43.627,14732,,2,0
153A,230,DSAMP,,75.231,22951,,2,0
153A,231,DSAMP,,74.989,22888,,2,0
154A,232,DSAMP,,76.819,23364,,2,0
154A,233,DSAMP,,76.72,23338,,2,0
155A,234,DSAMP,,57.024,18216,,2,0
155A,235,DSAMP,,56.931,18192,,2,0
156A,236,DSAMP,,52.986,17166,,2,0
156A,237,DSAMP,,52.752,17105,,2,0
157A,238,DSAMP,,60.458,19109,,2,0
157A,239,DSAMP,,60.469,19112,,2,0
158A,240,DSAMP,,61.784,19454,,2,0
158A,241,DSAMP,,61.715,19436,,2,0
159A,242,DSAMP,,80.03,24199,,2,0
159A,243,DSAMP,,79.792,24137,,2,0
160A,244,DSAMP,,70.252,21656,,2,0
160A,245,DSAMP,,70.056,21605,,2,0
Drift,246,DRIF,,99.787,55287,,1,0
Baseline,247,BASL,,-0.355,3202,,1,0
CCB,248,QUAL,,-0.351,3204,,1,0
MDL,249,UNKNOWN,,1.708,4275,,1,0
CCV,250,QUAL,,50.117,29453,,1,0
50% REF,251,UNKNOWN,,53.87,31405,,1,0
Null,252,NULL,,-0.34,3210,,1,0
151B,253,DSAMP,,56.366,18045,,2,0
151B,254,DSAMP,,55.751,17885,,2,0
152B,255,DSAMP,,51.417,16758,,2,0
152B,256,DSAMP,,51.137,16685,,2,0
153B,257,DSAMP,,88.494,26400,,2,0
153B,258,DSAMP,,87.69,26191,,2,0
154B,259,DSAMP,,79.523,24067,,2,0
154B,260,DSAMP,,79.277,24003,,2,0
155B,261,DSAMP,,67.806,21020,,2,0
155B,262,DSAMP,,67.333,20897,,2,0
156B,263,DSAMP,,59.835,18947,,2,0
156B,264,DSAMP,,59.535,18869,,2,0
157B,265,DSAMP,,71.098,21876,,2,0
157B,266,DSAMP,,70.502,21721,,2,0
158B,267,DSAMP,,71.69,22030,,2,0
158B,268,DSAMP,,71.486,21977,,2,0
159B,269,DSAMP,,92.551,27455,,2,0
159B,270,DSAMP,,92.147,27350,,2,0
160B,271,DSAMP,,89.882,26761,,2,0
160B,272,DSAMP,,89.551,26675,,2,0
151C,273,DSAMP,,57.85,18431,,2,0
151C,274,DSAMP,,57.204,18263,,2,0
152C,275,DSAMP,,51.01,16652,,2,0
152C,276,DSAMP,,50.933,16632,,2,0
153C,277,DSAMP,,79.177,23977,,2,0
153C,278,DSAMP,,78.634,23836,,2,0
154C,279,DSAMP,,90.474,26915,,2,0
154C,280,DSAMP,,89.709,26716,,2,0
155C,281,DSAMP,,67.583,20962,,2,0
155C,282,DSAMP,,67.233,20871,,2,0
156C,283,DSAMP,,65.93,20532,,2,0
156C,284,DSAMP,,65.626,20453,,2,0
157C,285,DSAMP,,62.2,19562,,2,0
157C,286,DSAMP,,62.08,19531,,2,0
158C,287,DSAMP,,73.674,22546,,2,0
158C,288,DSAMP,,73.063,22387,,2,0
159C,289,DSAMP,,93.793,27778,,2,0
159C,290,DSAMP,,93.651,27741,,2,0
160C,291,DSAMP,,92.939,27556,,2,0
160C,292,DSAMP,,92.274,27383,,2,0
Drift,293,DRIF,,99.787,55287,,1,0
Baseline,294,BASL,,-0.355,3202,,1,0
Quality Cup,295,QUAL,,-0.367,3196,,1,0
Quality Cup,296,UNKNOWN,,1.675,4258,,1,0
Quality Cup,297,QUAL,,50.069,29428,,1,0
161A,298,DSAMP,,83.149,25010,,2,0
161A,299,DSAMP,,82.753,24907,,2,0
162A,300,DSAMP,,78.781,23874,,2,0
162A,301,DSAMP,,78.369,23767,,2,0
163A,302,DSAMP,,32.091,11732,,2,0
163A,303,DSAMP,,31.883,11678,,2,0
164A,304,DSAMP,,52.959,17159,,2,0
164A,305,DSAMP,,52.552,17053,,2,0
165A,306,DSAMP,,8.034,5476,,2,0
165A,307,DSAMP,,7.869,5433,,2,0
166A,308,DSAMP,,3.712,4352,,2,0
166A,309,DSAMP,,3.677,4343,,2,0
167A,310,DSAMP,,7.53,5345,,2,0
167A,311,DSAMP,,7.484,5333,,2,0
168A,312,DSAMP,,7.707,5391,,2,0
168A,313,DSAMP,,7.696,5388,,2,0
169A,314,DSAMP,,18.728,8257,,2,0
169A,315,DSAMP,,18.578,8218,,2,0
170A,316,DSAMP,,17.432,7920,,2,0
170A,317,DSAMP,,17.382,7907,,2,0
161B,318,DSAMP,,48.425,28573,,1,0
161B,319,DSAMP,,48.34,28529,,1,0
162B,320,DSAMP,,45.547,27076,,1,0
162B,321,DSAMP,,45.408,27004,,1,0
163B,322,DSAMP,,17.945,12720,,1,0
163B,323,DSAMP,,17.851,12671,,1,0
164B,324,DSAMP,,18.766,13147,,1,0
164B,325,DSAMP,,18.697,13111,,1,0
165B,326,DSAMP,,4.911,5941,,1,0
165B,327,DSAMP,,4.888,5929,,1,0
166B,328,DSAMP,,4.53,5743,,1,0
166B,329,DSAMP,,4.517,5736,,1,0
167B,330,DSAMP,,4.853,5911,,1,0
167B,331,DSAMP,,4.802,5884,,1,0
168B,332,DSAMP,,4.75,5857,,1,0
168B,333,DSAMP,,4.734,5849,,1,0
169B,334,DSAMP,,11.406,9319,,1,0
169B,335,DSAMP,,11.308,9268,,1,0
170B,336,DSAMP,,9.852,8511,,1,0
170B,337,DSAMP,,9.816,8492,,1,0
161C,338,DSAMP,,44.485,26524,,1,0
161C,339,DSAMP,,44.308,26432,,1,0
162C,340,DSAMP,,46.666,27658,,1,0
162C,341,DSAMP,,46.466,27554,,1,0
163C,342,DSAMP,,15.717,11561,,1,0
163C,343,DSAMP,,15.59,11495,,1,0
164C,344,DSAMP,,18.543,13031,,1,0
164C,345,DSAMP,,18.516,13017,,1,0
165C,346,DSAMP,,5.157,6069,,1,0
165C,347,DSAMP,,5.119,6049,,1,0
166C,348,DSAMP,,5.08,6029,,1,0
166C,349,DSAMP,,5.076,6027,,1,0
167C,350,DSAMP,,5.392,6191,,1,0
167C,351,DSAMP,,5.351,6170,,1,0
168C,352,DSAMP,,5.196,6089,,1,0
168C,353,DSAMP,,5.209,6096,,1,0
169C,354,DSAMP,,12.281,9774,,1,0
169C,355,DSAMP,,12.235,9750,,1,0
Drift,356,DRIF,,99.787,55287,,1,0
Baseline,357,BASL,,-0.355,3202,,1,0
CCB,358,QUAL,,-0.345,3207,,1,0
MDL,359,UNKNOWN,,1.762,4303,,1,0
CCV,360,QUAL,,51.901,30381,,1,0
End,361,END ,,-0.355,3202,,1,0
