ANAL,Silicate.ANL,,,,,,,
RUN ,230112AR1.RUN,,,,,,,
DATE,1/12/2023,,,,,,,
TIME,11:52:28 AM,,,,,,,
OPER,BALINT,,,,,,,
COMM,Recalculate from Run230112A.run,,,,,,,
METH,,,,Silicate,,,Dilution,
MDL,119,UNKNOWN,,53.013,31596,,1,0
11B,120,DSAMP,,121.199,35872,,2,0
11B,121,DSAMP,,120.273,35611,,2,0
12B,122,DSAMP,,117.721,34892,,2,0
12B,123,DSAMP,,117.168,34736,,2,0
13B,124,DSAMP,,111.469,33130,,2,0
13B,125,DSAMP,,110.966,32988,,2,0
14B,126,DSAMP,,116.103,34436,,2,0
14B,127,DSAMP,,115.184,34177,,2,0
15B,128,DSAMP,,100.555,30054,,2,0
15B,129,DSAMP,,99.416,29733,,2,0
16B,130,DSAMP,,99.906,29871,,2,0
16B,131,DSAMP,,99.242,29684,,2,0
17B,132,DSAMP,,103.624,30919,,2,0
17B,133,DSAMP,,102.954,30730,,2,0
18B,134,DSAMP,,102.024,30468,,2,0
18B,135,DSAMP,,101.41,30295,,2,0
19B,136,DSAMP,,89.527,26946,,2,0
19B,137,DSAMP,,88.7,26713,,2,0
20B,138,DSAMP,,86.146,25993,,2,0
20B,139,DSAMP,,85.539,25822,,2,0
11C,140,DSAMP,,121.738,36024,,2,0
11C,141,DSAMP,,120.847,35773,,2,0
12C,142,DSAMP,,114.737,34051,,2,0
12C,143,DSAMP,,114.028,33851,,2,0
13C,144,DSAMP,,111.129,33034,,2,0
13C,145,DSAMP,,109.898,32687,,2,0
14C,146,DSAMP,,113.549,33716,,2,0
14C,147,DSAMP,,112.775,33498,,2,0
15C,148,DSAMP,,100.413,30014,,2,0
15C,149,DSAMP,,99.444,29741,,2,0
16C,150,DSAMP,,98.887,29584,,2,0
16C,151,DSAMP,,97.826,29285,,2,0
17C,152,DSAMP,,102.024,30468,,2,0
17C,153,DSAMP,,101.925,30440,,2,0
18C,154,DSAMP,,99.246,29685,,2,0
18C,155,DSAMP,,98.454,29462,,2,0
19C,156,DSAMP,,87.466,26365,,2,0
19C,157,DSAMP,,87.203,26291,,2,0
20C,158,DSAMP,,85.496,25810,,2,0
20C,159,DSAMP,,85.578,25833,,2,0
Null,160,NULL,,-2.831,119,,1,0
Baseline,161,BASL,,0,0,,1,0
CCB,162,QUAL,,-3.037,3,,1,0
MDL,163,UNKNOWN,,-0.876,1221,,1,0
CCV,164,UNKNOWN,,50.088,29947,,1,0
21A,165,DSAMP,,85.908,25926,,2,0
21A,166,DSAMP,,85.056,25686,,2,0
22A,167,DSAMP,,86.791,26175,,2,0
22A,168,DSAMP,,86.288,26033,,2,0
23A,169,DSAMP,,77.137,23454,,2,0
23A,170,DSAMP,,76.757,23347,,2,0
24A,171,DSAMP,,75.806,23079,,2,0
24A,172,DSAMP,,75.153,22895,,2,0
25A,173,DSAMP,,54.407,17048,,2,0
25A,174,DSAMP,,54.35,17032,,2,0
26A,175,DSAMP,,50.429,15927,,2,0
26A,176,DSAMP,,50.535,15957,,2,0
27A,177,DSAMP,,90.847,27318,,2,0
27A,178,DSAMP,,90.088,27104,,2,0
28A,179,DSAMP,,91.787,27583,,2,0
28A,180,DSAMP,,91.251,27432,,2,0
29A,181,DSAMP,,94.505,28349,,2,0
29A,182,DSAMP,,94.03,28215,,2,0
30A,183,DSAMP,,90.684,27272,,2,0
30A,184,DSAMP,,90.29,27161,,2,0
21B,185,DSAMP,,81.973,24817,,2,0
21B,186,DSAMP,,81.529,24692,,2,0
22B,187,DSAMP,,84.929,25650,,2,0
22B,188,DSAMP,,84.208,25447,,2,0
23B,189,DSAMP,,77.101,23444,,2,0
23B,190,DSAMP,,76.409,23249,,2,0
24B,191,DSAMP,,77.034,23425,,2,0
24B,192,DSAMP,,76.455,23262,,2,0
25B,193,DSAMP,,53.431,16773,,2,0
25B,194,DSAMP,,53.101,16680,,2,0
26B,195,DSAMP,,53.878,16899,,2,0
26B,196,DSAMP,,53.651,16835,,2,0
27B,197,DSAMP,,89.555,26954,,2,0
27B,198,DSAMP,,89.087,26822,,2,0
28B,199,DSAMP,,89.563,26956,,2,0
28B,200,DSAMP,,88.551,26671,,2,0
29B,201,DSAMP,,92.156,27687,,2,0
29B,202,DSAMP,,91.514,27506,,2,0
30B,203,DSAMP,,89.314,26886,,2,0
30B,204,DSAMP,,88.764,26731,,2,0
Drift,205,DRIF,,98.984,57508,,1,0
Baseline,206,BASL,,0,0,,1,0
CCB,207,QUAL,,0,0,,1,0
MDL,208,UNKNOWN,,-0.973,1166,,1,0
CCV,209,QUAL,,47.717,28611,,1,0
50% REF,210,UNKNOWN,,52.866,31513,,1,0
Null,211,NULL,,0,0,,1,0
21C,212,DSAMP,,85.333,25764,,2,0
21C,213,DSAMP,,84.62,25563,,2,0
22C,214,DSAMP,,86.124,25987,,2,0
22C,215,DSAMP,,85.489,25808,,2,0
23C,216,DSAMP,,78.134,23735,,2,0
23C,217,DSAMP,,77.513,23560,,2,0
24C,218,DSAMP,,75.799,23077,,2,0
24C,219,DSAMP,,75.543,23005,,2,0
25C,220,DSAMP,,53.828,16885,,2,0
25C,221,DSAMP,,53.892,16903,,2,0
26C,222,DSAMP,,54.9,17187,,2,0
26C,223,DSAMP,,54.453,17061,,2,0
27C,224,DSAMP,,90.694,27275,,2,0
27C,225,DSAMP,,89.853,27038,,2,0
28C,226,DSAMP,,89.743,27007,,2,0
28C,227,DSAMP,,89.392,26908,,2,0
29C,228,DSAMP,,95.116,28521,,2,0
29C,229,DSAMP,,95.08,28511,,2,0
30C,230,DSAMP,,93.728,28130,,2,0
30C,231,DSAMP,,90.79,27302,,2,0
31A,232,DSAMP,,109.408,32549,,2,0
31A,233,DSAMP,,108.766,32368,,2,0
32A,234,DSAMP,,116.022,34413,,2,0
32A,235,DSAMP,,115.514,34270,,2,0
33A,236,DSAMP,,100.637,30077,,2,0
33A,237,DSAMP,,99.97,29889,,2,0
34A,238,DSAMP,,100.523,30045,,2,0
34A,239,DSAMP,,99.966,29888,,2,0
35A,240,DSAMP,,98.82,29565,,2,0
35A,241,DSAMP,,98.33,29427,,2,0
36A,242,DSAMP,,101.747,30390,,2,0
36A,243,DSAMP,,101.332,30273,,2,0
37A,244,DSAMP,,100.321,29988,,2,0
37A,245,DSAMP,,99.835,29851,,2,0
38A,246,DSAMP,,100.963,30169,,2,0
38A,247,DSAMP,,100.385,30006,,2,0
39A,248,DSAMP,,97.947,29319,,2,0
39A,249,DSAMP,,97.642,29233,,2,0
40A,250,DSAMP,,97.922,29312,,2,0
40A,251,DSAMP,,97.365,29155,,2,0
Drift,252,DRIF,,98.984,57508,,1,0
Baseline,253,BASL,,0,0,,1,0
CCB,254,QUAL,,0,0,,1,0
MDL,255,UNKNOWN,,-0.913,1200,,1,0
CCV,256,UNKNOWN,,49.387,29552,,1,0
31B,257,DSAMP,,114.578,34006,,2,0
31B,258,DSAMP,,113.68,33753,,2,0
32B,259,DSAMP,,113.382,33669,,2,0
32B,260,DSAMP,,112.637,33459,,2,0
33B,261,DSAMP,,102.826,30694,,2,0
33B,262,DSAMP,,102.347,30559,,2,0
34B,263,DSAMP,,101.683,30372,,2,0
34B,264,DSAMP,,100.97,30171,,2,0
35B,265,DSAMP,,102.95,30729,,2,0
35B,266,DSAMP,,102.208,30520,,2,0
36B,267,DSAMP,,,,,2,0
36B,268,DSAMP,,,,,2,0
37B,269,DSAMP,,,,,2,0
37B,270,DSAMP,,,,,2,0
38B,271,DSAMP,,,,,2,0
38B,272,DSAMP,,,,,2,0
39B,273,DSAMP,,,,,2,0
39B,274,DSAMP,,,,,2,0
40B,275,DSAMP,,,,,2,0
40B,276,DSAMP,,,,,2,0
31C,277,DSAMP,,,,,2,0
31C,278,DSAMP,,,,,2,0
32C,279,DSAMP,,,,,2,0
32C,280,DSAMP,,,,,2,0
33C,281,DSAMP,,,,,2,0
33C,282,DSAMP,,,,,2,0
End,283,END ,,0,0,,1,0
